id;timestamp;value;meter_port_id;created;last_modified
83174485;2015-09-21 03:41:31.074+02;137519000;28;2015-09-21 03:41:31.114837+02;2015-09-21 03:41:31.114868+02
83174514;2015-09-21 03:41:51.071+02;7000;29;2015-09-21 03:41:51.186184+02;2015-09-21 03:41:51.186216+02
83174513;2015-09-21 03:41:51.071+02;137519000;28;2015-09-21 03:41:51.113084+02;2015-09-21 03:41:51.113117+02
83174518;2015-09-21 03:41:51.401+02;214000;25;2015-09-21 03:41:51.484511+02;2015-09-21 03:41:51.484543+02
83174517;2015-09-21 03:41:51.401+02;46429462000;24;2015-09-21 03:41:51.438334+02;2015-09-21 03:41:51.438365+02
83174530;2015-09-21 03:41:59.55+02;25000;31;2015-09-21 03:41:59.636457+02;2015-09-21 03:41:59.636487+02
83174529;2015-09-21 03:41:59.55+02;30255000;30;2015-09-21 03:41:59.592797+02;2015-09-21 03:41:59.592829+02
83174551;2015-09-21 03:42:11.068+02;6000;29;2015-09-21 03:42:11.153282+02;2015-09-21 03:42:11.153317+02
83174550;2015-09-21 03:42:11.068+02;137519000;28;2015-09-21 03:42:11.108577+02;2015-09-21 03:42:11.108611+02
83174554;2015-09-21 03:42:11.402+02;46429462000;24;2015-09-21 03:42:11.442714+02;2015-09-21 03:42:11.442747+02
83174585;2015-09-21 03:42:31.065+02;7000;29;2015-09-21 03:42:31.148564+02;2015-09-21 03:42:31.148595+02
83174584;2015-09-21 03:42:31.065+02;137519000;28;2015-09-21 03:42:31.105926+02;2015-09-21 03:42:31.105959+02
83174613;2015-09-21 03:42:51.074+02;6000;29;2015-09-21 03:42:51.146056+02;2015-09-21 03:42:51.146089+02
83174617;2015-09-21 03:42:51.404+02;214000;25;2015-09-21 03:42:51.496705+02;2015-09-21 03:42:51.496738+02
83174616;2015-09-21 03:42:51.404+02;46429465000;24;2015-09-21 03:42:51.444647+02;2015-09-21 03:42:51.44468+02
83174630;2015-09-21 03:42:59.555+02;24000;31;2015-09-21 03:42:59.65538+02;2015-09-21 03:42:59.655413+02
83174629;2015-09-21 03:42:59.555+02;30255000;30;2015-09-21 03:42:59.61262+02;2015-09-21 03:42:59.612652+02
83174651;2015-09-21 03:43:11.077+02;7000;29;2015-09-21 03:43:11.158299+02;2015-09-21 03:43:11.15833+02
83174650;2015-09-21 03:43:11.077+02;137519000;28;2015-09-21 03:43:11.114137+02;2015-09-21 03:43:11.114168+02
83174654;2015-09-21 03:43:11.396+02;46429465000;24;2015-09-21 03:43:11.457233+02;2015-09-21 03:43:11.457267+02
83174684;2015-09-21 03:43:31.067+02;7000;29;2015-09-21 03:43:31.155823+02;2015-09-21 03:43:31.155854+02
83174683;2015-09-21 03:43:31.067+02;137519000;28;2015-09-21 03:43:31.107413+02;2015-09-21 03:43:31.107446+02
83174716;2015-09-21 03:43:51.394+02;213000;25;2015-09-21 03:43:51.500188+02;2015-09-21 03:43:51.500221+02
83174715;2015-09-21 03:43:51.394+02;46429469000;24;2015-09-21 03:43:51.456299+02;2015-09-21 03:43:51.456331+02
